2025-08-06 11:43:30 | INFO | app.scraper.scraper:run_scraping:347 | 🚀 Запуск скрапинга Financial Times...
2025-08-06 11:43:30 | INFO | app.scraper.scraper:run_scraping:365 | ⏰ Обычный запуск - собираем статьи за последний час...
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:run_scraping:377 | ⚠️ Не удалось получить данные статей
2025-08-06 11:43:30 | INFO | app.scraper.scraper:run_scraping:347 | 🚀 Запуск скрапинга Financial Times...
2025-08-06 11:43:30 | ERROR | app.scraper.scraper:run_scraping:380 | ❌ Критическая ошибка скрапинга: Browser init failed
2025-08-06 11:43:30 | INFO | app.scraper.scraper:scrape_articles_with_pagination:236 | 📚 Начинаем скрапинг с пагинацией (макс. 5 страниц)...
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:scrape_articles_with_pagination:247 | ⚠️ Страница 3 не содержит подходящих статей
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:scrape_articles_with_pagination:247 | ⚠️ Страница 4 не содержит подходящих статей
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:scrape_articles_with_pagination:247 | ⚠️ Страница 5 не содержит подходящих статей
2025-08-06 11:43:30 | INFO | app.scraper.scraper:scrape_articles_with_pagination:251 | 🛑 Найдено 3 страницы подряд без статей, прекращаем скрапинг
2025-08-06 11:43:30 | INFO | app.scraper.scraper:scrape_articles_with_pagination:268 | 🎉 Завершен скрапинг с пагинацией: собрано 2 статей с 5 страниц
2025-08-06 11:44:04 | INFO | app.db.database:init_db:50 | ✅ База данных инициализирована
2025-08-06 11:44:05 | INFO | app.db.database:init_db:50 | ✅ База данных инициализирована
2025-08-06 11:44:05 | INFO | app.scraper.scraper:scrape_single_page:175 | 📄 Скрапинг страницы 1 (попытка 1/3): https://www.ft.com/world
2025-08-06 11:44:05 | INFO | app.scraper.scraper:scrape_single_page:206 | 🔍 Найдено 1 элементов статей на странице 1
2025-08-06 11:44:05 | INFO | app.scraper.scraper:scrape_single_page:218 | ✅ Успешно извлечено 1 статей со страницы 1
2025-08-06 11:44:05 | INFO | app.scraper.scraper:save_articles_to_db:328 | 📦 Обработан batch: сохранено 1 статей
2025-08-06 11:44:05 | INFO | app.scraper.scraper:save_articles_to_db:338 | ✅ Итого сохранено 1 новых статей в базу данных
2025-08-06 11:44:05 | INFO | app.scheduler.scheduler:initial_scrape_job:22 | 🔄 Запуск задачи первоначального скрапинга...
2025-08-06 11:44:05 | INFO | app.scheduler.scheduler:initial_scrape_job:24 | ✅ Задача первоначального скрапинга завершена
2025-08-06 11:44:05 | INFO | app.scheduler.scheduler:hourly_scrape_job:31 | ⏰ Запуск почасовой задачи скрапинга...
2025-08-06 11:44:05 | INFO | app.scheduler.scheduler:hourly_scrape_job:33 | ✅ Почасовая задача скрапинга завершена
2025-08-06 11:44:05 | INFO | app.scheduler.scheduler:adaptive_scrape_job:40 | 🤖 Запуск адаптивной задачи скрапинга...
2025-08-06 11:44:05 | INFO | app.scheduler.scheduler:adaptive_scrape_job:42 | ✅ Адаптивная задача скрапинга завершена
2025-08-06 11:44:05 | INFO | app.main:main:35 | 🚀 Запуск Financial Times скрапера...
2025-08-06 11:44:05 | INFO | app.main:main:38 | 📊 Инициализация базы данных...
2025-08-06 11:44:05 | INFO | app.main:main:42 | ⏰ Запуск планировщика...
2025-08-06 11:44:05 | INFO | app.main:main:47 | ⏹️ Получен сигнал остановки...
2025-08-06 11:44:05 | INFO | app.main:main:52 | 🔌 Закрытие подключений к базе данных...
2025-08-06 11:44:05 | INFO | app.main:main:54 | ✅ Приложение завершено
2025-08-06 11:44:05 | INFO | app.main:main:35 | 🚀 Запуск Financial Times скрапера...
2025-08-06 11:44:05 | INFO | app.main:main:38 | 📊 Инициализация базы данных...
2025-08-06 11:44:05 | ERROR | app.main:main:49 | ❌ Критическая ошибка: Database init failed
2025-08-06 11:44:05 | INFO | app.main:main:52 | 🔌 Закрытие подключений к базе данных...
2025-08-06 11:44:05 | INFO | app.main:main:54 | ✅ Приложение завершено
2025-08-06 11:44:05 | INFO | app.scraper.scraper:is_first_run:82 | 📊 Статей в базе: 0, первый запуск: True
